# company number	Partner 1	Partner 2	Partner 3	Partner 4
186	ASIF Ventures	ACE Incubator	Innovatiefonds Noord-Holland	Hans van der Noordaa
187				
188				
189	INKEF Capital	Innovation Industries	German Ventures	
190	Anterra Capital	Rabobank	Unilever Ventures	Pentair
191	Hoving & Partners SA			
192	Innovation Industries			
193	Gilde Healthcare			
194				
195	European regional development fund (ERDF)			
196	DOEN Participaties	Green Challenge Fund	Jeremy Grantham	Hannelore Grantham
197				
198	InnovationQuarter	Vortex Capital Partners	Lennard Zwart	Arthur van der Wees
199				
200	Startupbootcamp Amsterdam			
201	Vortex Capital Partners	Vidoze	Noro Venture Capital	
202	Ministry of Economic Affairs (Innovation Credit)			
203	VenturesOne			
204	Cottonwood Technology Fund	AERIUM Analytics		
205				
206				
207	Target Global	FJ Labs	Tamaz Georgadze	Ilya Kondrashov
208	De Hoge Dennen Capital	Hoyberg	NPM Capital	Finci
209				
210				
211				
212				
213				
214	Global Founders Capital	Adeyemi Ajao	Main Mezzanine Capital	
215				
216				
217	ACRE			
218				
219				
220				
221				
222	Dutch Founders Fund	KBC Focus Fund		
223	S.R.I.W.	InnovationQuarter	Vesalius Biocapital Partners	SFPI-FPIM
224	Techstars Lisbon in partnership with Semapa Next	Startup Lisboa		
225				
226	Waterman Ventures	Pymwymic	Rabo Ventures	
227				
228	Netsam Participaties BV	Chivas Venture	Johan Mastenbroek	
229				
230	Erik Peterson	Dean Bartosh	Startupbootcamp Amsterdam	Altaf Khan
231				
232	EASME - EU Executive Agency for SMEs	InnovationQuarter	UNIIQ	
233	EIT Digital Accelerator	Dutch Founders Fund	Startupbootcamp Amsterdam	
234				
235	Hampus Jakobsson	River Venture Partners	Herman Kienhuis	Digital Leaders Ventures
236				
237	UNIIQ			
238				
239	Truffle Capital	Mark Bivens		
240				
241	Falco Valkenburg			
242				
243	Vortex Capital Partners			
244	Plug and Play	K Fund	Big Sur Ventures	Draper B1
245				
246				
247				
248				
249	Rockstart	Arthur Kosten	Mariusz Gralewski	Marcel Beemsterboer
250	Sina Afra	Kees Koolen	Hein Pretorius	
251				
252	Heartcore Capital	Prime Ventures		
253				
254				
255				
256				
257				
258	Janneke Niessen	Wayne Parker Kent		
259				
260				
261				
262	Mitsui & Co	International Finance Corporation	Torreal	Latin American Media Group
263				
264				
265				
266	InnovationQuarter	KIKK Capital	Zeeuws Investerings Fonds	
267				
268	Startupbootcamp Smart City & IoT Amsterdam			
269	BOM Brabant Ventures			
270				
271				
272				
273				
274	ABN AMRO Fund	DOEN Participaties	Quadia	Pymwymic
275				
276	H.I.G. Capital			
277				
278	Mamadoo Ventures	Reinoud Elhorst		
279				
280				
281				
282				
283				
284				
285				
286	Seth Bernstein	Matt Harris	Eric Aroesty	Triple-IT
287	PhotonDelta			
288	Block Party	River Venture Partners		
289	Leapfunder	BOM Brabant Ventures	Fang Group	Velio Ventures
290	BOM Brabant Ventures	EASME - EU Executive Agency for SMEs	DROIA	BioGeneration Ventures
291				
292	Medicxi Ventures	OostNL	Sanquin Blood Supply Foundation	Agentschap NL
293				
294	ABN AMRO Bank			
295	University of Amsterdam Ventures			
296				
297				
298				
299	Axivate Capital			
300	Fortino Capital			
301	IMPACT Accelerator	Netherlands Enterprise Agency	weXelerate	BOOST Programs
302				
303	Atomico	Accel		
304				
305	btov Partners	Initial Capital	Finch Capital	Kreos Capital
306	Jerusalem Venture Partners (JVP)	Viola Growth	Sequoia Capital Israel	Maor Investments
307				
308				
309	BOM Brabant Ventures	EASME - EU Executive Agency for SMEs	Innovation Industries	Optiverder
310				
311	EASME - EU Executive Agency for SMEs	Vortex Capital Partners		
312	VentureFriends			
313	INKEF Capital	Oxford University Innovation	BioGeneration Ventures	
314	Social Impact Ventures NL			
315	Rutoo International			
316	Capital Mills			
317	Acrobator Ventures | Acrobator.vc	Startupbootcamp Amsterdam		
318	Gregory van der Wiel			
319				
320				
321				
322	Makers Fund	Social Starts	Backed VC	Initial Capital
323	BOM Brabant Ventures			
324				
325	Medicxi Ventures	Baxalta Ventures	Utrecht Holdings	
326				
327	Walvis Participaties	Laurens Groenendijk		
328	Andrei Joosten	Klaas Joosten		
329				
330	Technology Development Fund	Agile Accelerator	Hardware.co	SpeedUP! Europe
331				
332	Michiel Muller	Marc Schr̦der		
333	Startupbootcamp Commerce Amsterdam			
334	Disruptive Technology Ventures			
335	Mastercard Start Path	Startupbootcamp FinTech London		
336				
337				
338				
339				
340				
341				
342	INKEF Capital			
343				
344				
345	SmartFin	Sniper Investments		
346				
347	Silver Point Ventures			
348				
349				
350				
351				
352	The Hatch Firm			
353	Cottonwood Technology Fund	KPN Ventures		
354				
355				
356				
357				
358				
359				
360				
361				
362				
363	EASME - EU Executive Agency for SMEs	SHIFT Invest	Thuja Capital	PPM Oost NV
364	Brightlands Venture Partners			
365				
366	University College London (UCL)	Springboard	Arts Alliance	Ballpark Ventures
367	Vesalius Biocapital Partners	Limburgse Reconversie Maatschappij		
368	UvA Ventures Holding			
369	BOM Brabant Ventures	Eindhoven Venture Capital Fund II		
370	Pim Berger			
371	SHIFT I			
372				
373	NOM	Runtime Ventures		
374				
375				
376				
377				
378	Kurma Partners			
379				
380				
381				
382	Chinaccelerator	Rockstart	IMPACT Accelerator	
383				
384				
385				
386				
387				
388				
389				
390	OostNL			
391	La Terza SARL			
392	Data Pitch			
393	Netherlands Enterprise Agency			
394	BOM Brabant Ventures	Rabobank	Rabo Corporate Investments	SHIFT I
395	Van Herk Ventures			
396				
397	Startupbootcamp HighTechXL			
398				
399				
400	FORWARD.one Venture Capital			
401				
402	BioGeneration Ventures	NV NOM	MedSciences Capital	Changchun BCHT Biotechnology
403				
404				
405				
406	HPE Growth			
407	HPE Growth	Capital Mills	Investion	
408	AngelList	Atomico	Accel	Greylock Partners
409	Dentsu	Macquarie Capital	Galaxy Digital LP	iTech Capital
410	CNBB Venture Partners			
411	INKEF Capital	Keen Venture Partners	Digital Equity	
412				
413				
414	M Ventures	Nutreco	Bell Food Group	
415	Greven Investments	Willem Akkersdijk	Arjan Grootenboer	Aart Jan Schouten
416	INKEF Capital			
417				
418	Spitskool			
419	Gilde Healthcare	ACE Incubator	Dutch Technology Foundation STW	
420				
421				
422				
423	Ivo De la Rive Box	Arjen Noorbergen	Pim Schmitz	John de Mol Jr.
424	FORWARD.one Venture Capital	UNIIQ	Rabobank Delft Innovation Fund	
425	Arches Capital	BOM Brabant Ventures	NextGen Ventures	
426	De Hoge Dennen Capital	Aescap Venture	IPF Partners	Jeroen Cammeraat
427	Michiel Mol			
428				
429	Collider	The Refiners		
430	Navus Ventures			
431	Mainport Innovation Fund			
432	Cottonwood Technology Fund			
433	EASME - EU Executive Agency for SMEs	Informal investors	Suez Nederland	Dekker Zevenhuizen
434				
435				
436				
437				
438				
439	Bas Godska			
440				
441				
442				
443				
444				
445				
446				
447	Chemelot Ventures	NV Industriebank LIOF		
448	EuropeanPioneers	Startupbootcamp HighTechXL		
